('01:21:38', 100.0, 12.14, snetio(bytes_sent=10284954340, bytes_recv=2434953972, packets_sent=17078228, packets_recv=18947790, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058315264, free=27960545280, percent=9.9), sdiskio(read_count=69333, write_count=1021120, read_bytes=1066131968, write_bytes=21134750208, read_time=76752, write_time=3755864, read_merged_count=0, write_merged_count=1054694, busy_time=422076))
('01:21:41', 0.0, 12.69, snetio(bytes_sent=10285580035, bytes_recv=2435018739, packets_sent=17080819, packets_recv=18948554, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058319360, free=27960541184, percent=9.9), sdiskio(read_count=69333, write_count=1021195, read_bytes=1066131968, write_bytes=21136265728, read_time=76752, write_time=3755960, read_merged_count=0, write_merged_count=1054989, busy_time=422076))
('01:21:44', 100.0, 12.95, snetio(bytes_sent=10286397115, bytes_recv=2435100305, packets_sent=17083678, packets_recv=18949518, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058331648, free=27960528896, percent=9.9), sdiskio(read_count=69333, write_count=1021291, read_bytes=1066131968, write_bytes=21138289152, read_time=76752, write_time=3756072, read_merged_count=0, write_merged_count=1055365, busy_time=422076))
('01:21:47', 100.0, 13.15, snetio(bytes_sent=10287099872, bytes_recv=2435164642, packets_sent=17086246, packets_recv=18950294, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058335744, free=27960524800, percent=9.9), sdiskio(read_count=69333, write_count=1021372, read_bytes=1066131968, write_bytes=21139943936, read_time=76752, write_time=3756180, read_merged_count=0, write_merged_count=1055688, busy_time=422076))
('01:21:50', 100.0, 13.35, snetio(bytes_sent=10287865768, bytes_recv=2435235938, packets_sent=17089058, packets_recv=18951113, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058348032, free=27960512512, percent=9.9), sdiskio(read_count=69333, write_count=1021484, read_bytes=1066131968, write_bytes=21141987840, read_time=76752, write_time=3756352, read_merged_count=0, write_merged_count=1056074, busy_time=422084))
('01:21:53', 100.0, 13.5, snetio(bytes_sent=10288572843, bytes_recv=2435304506, packets_sent=17092017, packets_recv=18951941, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058352128, free=27960508416, percent=9.9), sdiskio(read_count=69333, write_count=1021571, read_bytes=1066131968, write_bytes=21143757312, read_time=76752, write_time=3756488, read_merged_count=0, write_merged_count=1056419, busy_time=422084))
('01:21:56', 0.0, 14.1, snetio(bytes_sent=10289298032, bytes_recv=2435374993, packets_sent=17095153, packets_recv=18952724, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058364416, free=27960496128, percent=9.9), sdiskio(read_count=69333, write_count=1021667, read_bytes=1066131968, write_bytes=21145707008, read_time=76752, write_time=3756760, read_merged_count=0, write_merged_count=1056799, busy_time=422084))
('01:21:59', 100.0, 14.2, snetio(bytes_sent=10290223019, bytes_recv=2435484891, packets_sent=17098596, packets_recv=18953998, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058372608, free=27960487936, percent=9.9), sdiskio(read_count=69333, write_count=1021781, read_bytes=1066131968, write_bytes=21148017152, read_time=76752, write_time=3756924, read_merged_count=0, write_merged_count=1057249, busy_time=422084))
('01:22:02', 0.0, 14.35, snetio(bytes_sent=10290910466, bytes_recv=2435548484, packets_sent=17100940, packets_recv=18954759, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058384896, free=27960475648, percent=9.9), sdiskio(read_count=69333, write_count=1021862, read_bytes=1066131968, write_bytes=21149663744, read_time=76752, write_time=3757016, read_merged_count=0, write_merged_count=1057570, busy_time=422084))
('01:22:05', 100.0, 14.05, snetio(bytes_sent=10291580065, bytes_recv=2435613698, packets_sent=17102892, packets_recv=18955492, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058393088, free=27960467456, percent=9.9), sdiskio(read_count=69333, write_count=1021952, read_bytes=1066131968, write_bytes=21151482368, read_time=76752, write_time=3757112, read_merged_count=0, write_merged_count=1057924, busy_time=422084))
