03:43:49;100;15,91; snetio(bytes_sent=11081930246; bytes_recv=2506674706; packets_sent=18719474; packets_recv=19765594; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809786368; free=28209074176; percent=9,1); sdiskio(read_count=97721; write_count=1089553; read_bytes=1365299200; write_bytes=22623793664; read_time=102548; write_time=3912392; read_merged_count=3; write_merged_count=1232434; busy_time=437500))
03:43:52;0;16,01; snetio(bytes_sent=11082429882; bytes_recv=2506723969; packets_sent=18721703; packets_recv=19766227; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809790464; free=28209070080; percent=9,1); sdiskio(read_count=97721; write_count=1089625; read_bytes=1365299200; write_bytes=22625051136; read_time=102548; write_time=3912532; read_merged_count=3; write_merged_count=1232660; busy_time=437512))
03:43:55;100;16,06; snetio(bytes_sent=11083003532; bytes_recv=2506776574; packets_sent=18724203; packets_recv=19766895; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809798656; free=28209061888; percent=9,1); sdiskio(read_count=97721; write_count=1089682; read_bytes=1365299200; write_bytes=22626226688; read_time=102548; write_time=3912604; read_merged_count=3; write_merged_count=1232890; busy_time=437512))
03:43:58;100;16,16; snetio(bytes_sent=11083595062; bytes_recv=2506831277; packets_sent=18726764; packets_recv=19767573; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809810944; free=28209049600; percent=9,1); sdiskio(read_count=97721; write_count=1089747; read_bytes=1365299200; write_bytes=22627525120; read_time=102548; write_time=3912656; read_merged_count=3; write_merged_count=1233141; busy_time=437512))
03:44:01;100;16,21; snetio(bytes_sent=11084122667; bytes_recv=2506879686; packets_sent=18729055; packets_recv=19768205; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809815040; free=28209045504; percent=9,1); sdiskio(read_count=97721; write_count=1089799; read_bytes=1365299200; write_bytes=22628626944; read_time=102548; write_time=3912704; read_merged_count=3; write_merged_count=1233349; busy_time=437512))
03:44:04;0;16,51; snetio(bytes_sent=11084697221; bytes_recv=2506932794; packets_sent=18731539; packets_recv=19768889; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809823232; free=28209037312; percent=9,1); sdiskio(read_count=97721; write_count=1089859; read_bytes=1365299200; write_bytes=22629855744; read_time=102548; write_time=3912756; read_merged_count=3; write_merged_count=1233589; busy_time=437512))
03:44:07;0;16,56; snetio(bytes_sent=11085334225; bytes_recv=2506988245; packets_sent=18734349; packets_recv=19769599; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809835520; free=28209025024; percent=9,1); sdiskio(read_count=97721; write_count=1089916; read_bytes=1365299200; write_bytes=22631035392; read_time=102548; write_time=3912816; read_merged_count=3; write_merged_count=1233820; busy_time=437512))
03:44:10;0;16,71; snetio(bytes_sent=11085973083; bytes_recv=2507047717; packets_sent=18737122; packets_recv=19770328; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809831424; free=28209029120; percent=9,1); sdiskio(read_count=97721; write_count=1089991; read_bytes=1365299200; write_bytes=22632559104; read_time=102548; write_time=3912908; read_merged_count=3; write_merged_count=1234117; busy_time=437512))
03:44:13;100;16,76; snetio(bytes_sent=11086635700; bytes_recv=2507107812; packets_sent=18739908; packets_recv=19771070; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809851904; free=28209008640; percent=9,1); sdiskio(read_count=97721; write_count=1090056; read_bytes=1365299200; write_bytes=22633906688; read_time=102548; write_time=3912992; read_merged_count=3; write_merged_count=1234381; busy_time=437512))
03:44:16;100;16,86; snetio(bytes_sent=11087242413; bytes_recv=2507163079; packets_sent=18742508; packets_recv=19771790; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809843712; free=28209016832; percent=9,1); sdiskio(read_count=97721; write_count=1090120; read_bytes=1365299200; write_bytes=22635192832; read_time=102548; write_time=3913084; read_merged_count=3; write_merged_count=1234631; busy_time=437512))
